split,origin_timestamp,timestamp,actual,forecast,error,q00,q10,q20,q30,q40,q50,q60,q70,q80,q90
walk_forward,2023-09-12 18:25:00,2023-09-12 19:00:00,5013.278,7731.316,-2718.038,7321.3784,1637.9246,4114.3257,5493.93,6743.5386,7731.316,8628.697,9590.758,10526.627,12327.551
walk_forward,2023-09-12 18:25:00,2023-09-12 19:05:00,5018.3066,7609.0537,-2590.747,7112.1924,971.1641,3670.9062,5317.368,6536.072,7609.0537,8570.98,9412.079,10623.166,12489.851
walk_forward,2023-09-12 18:25:00,2023-09-12 19:10:00,5023.3354,7657.535,-2634.1997,7130.752,793.39343,3599.0044,5193.2373,6419.118,7657.535,8716.369,9660.957,10818.931,12658.586
walk_forward,2023-09-12 18:25:00,2023-09-12 19:15:00,5028.3647,7755.812,-2727.4473,6931.4775,589.4391,3497.1553,5171.4727,6554.025,7755.812,8837.347,9912.544,11000.033,12915.57
walk_forward,2023-09-12 18:25:00,2023-09-12 19:20:00,5033.3936,7782.974,-2749.5806,7096.695,475.64685,3347.6914,5132.825,6528.706,7782.974,9065.05,10116.713,11210.181,13076.185
walk_forward,2023-09-12 18:25:00,2023-09-12 19:25:00,5038.4224,7749.5527,-2711.1304,7198.4424,199.84003,3295.3704,4886.297,6389.2705,7749.5527,9027.0,10203.788,11149.505,13241.771
walk_forward,2023-09-12 19:25:00,2023-09-12 19:30:00,5043.451,5068.89,-25.438965,5095.571,4875.567,5044.995,5044.995,5044.995,5068.89,5068.89,5071.406,5153.801,5400.416
walk_forward,2023-09-12 19:25:00,2023-09-12 19:35:00,5048.48,5110.133,-61.652832,5156.789,4831.4985,5018.3403,5059.223,5099.678,5110.133,5119.312,5201.524,5315.718,5544.994
walk_forward,2023-09-12 19:25:00,2023-09-12 19:40:00,5053.5093,5072.793,-19.283691,5158.3965,4703.9707,4914.615,4997.3335,5004.6704,5072.793,5130.45,5147.2754,5337.4736,5672.663
walk_forward,2023-09-12 19:25:00,2023-09-12 19:45:00,5058.538,5054.3354,4.2026367,5197.101,4582.612,4842.6978,4963.152,4963.152,5054.3354,5146.1196,5194.9717,5395.0884,5827.4453
walk_forward,2023-09-12 19:25:00,2023-09-12 19:50:00,5063.567,5045.269,18.297852,5241.499,4384.5264,4743.8438,4869.3223,4946.1,5045.269,5133.0513,5264.01,5452.0874,5911.5977
walk_forward,2023-09-12 19:25:00,2023-09-12 19:55:00,5068.5957,5045.4263,23.169434,5134.0244,4360.9624,4718.8794,4920.976,4967.4414,5045.4263,5167.205,5241.9907,5576.825,6028.846
walk_forward,2023-09-12 19:25:00,2023-09-12 20:00:00,5073.6245,5005.899,67.725586,5114.3613,4161.167,4569.2603,4780.6816,4895.2046,5005.899,5126.3345,5356.2607,5617.349,6207.8115
walk_forward,2023-09-12 19:25:00,2023-09-12 20:05:00,5078.654,5004.1094,74.54443,5110.6104,4016.975,4521.6636,4792.6025,4896.6714,5004.1094,5152.637,5318.6143,5696.3594,6292.242
walk_forward,2023-09-12 19:25:00,2023-09-12 20:10:00,5083.6826,5061.7656,21.916992,5290.3203,3964.132,4588.575,4784.8438,4901.5117,5061.7656,5257.8555,5479.2324,5786.0605,6482.581
walk_forward,2023-09-12 19:25:00,2023-09-12 20:15:00,5088.7114,5132.9873,-44.27588,5137.2163,3948.148,4611.665,4805.322,4969.757,5132.9873,5327.1606,5594.7944,5879.0454,6641.775
walk_forward,2023-09-12 19:25:00,2023-09-12 20:20:00,5093.74,5159.0615,-65.32129,5336.6016,3930.5173,4564.547,4831.252,4999.2715,5159.0615,5408.3105,5690.536,5995.0645,6774.1885
walk_forward,2023-09-12 19:25:00,2023-09-12 20:25:00,5098.769,5156.472,-57.703125,5395.1885,3891.7324,4581.6543,4791.384,4979.322,5156.472,5427.3174,5723.5454,6016.241,6844.077
walk_forward,2023-09-12 20:25:00,2023-09-12 20:30:00,5103.7983,5128.127,-24.328613,5126.4683,5008.891,5080.541,5096.823,5116.3887,5128.127,5154.544,5158.2,5161.9917,5278.3413
walk_forward,2023-09-12 20:25:00,2023-09-12 20:35:00,5108.827,5117.0825,-8.255371,5137.568,4963.5806,5049.8022,5070.6997,5112.9824,5117.0825,5121.778,5178.471,5188.782,5266.746
walk_forward,2023-09-12 20:25:00,2023-09-12 20:40:00,5113.856,5143.0293,-29.17334,5132.6045,5017.254,5070.466,5097.748,5122.6797,5143.0293,5171.9863,5191.6455,5215.5977,5318.8096
walk_forward,2023-09-12 20:25:00,2023-09-12 20:45:00,5118.885,5091.324,27.560547,5139.0127,4959.3687,5020.3687,5047.9316,5069.3564,5091.324,5122.4004,5154.9043,5154.9043,5265.2217
walk_forward,2023-09-12 20:25:00,2023-09-12 20:50:00,5123.9136,5151.1753,-27.261719,5174.236,4979.0728,5063.831,5089.0283,5118.848,5151.1753,5158.464,5192.5376,5192.5376,5283.828
walk_forward,2023-09-12 20:25:00,2023-09-12 20:55:00,5128.943,5141.0605,-12.117676,5182.333,5010.105,5065.5435,5117.4897,5134.419,5141.0605,5160.9326,5160.9326,5201.9214,5250.652
walk_forward,2023-09-12 20:25:00,2023-09-12 21:00:00,5133.9717,5134.705,-0.73339844,5092.0425,4963.9907,5027.979,5088.5063,5098.874,5134.705,5141.999,5166.068,5179.5986,5292.311
walk_forward,2023-09-12 20:25:00,2023-09-12 21:05:00,5139.0005,5156.8203,-17.819824,5143.9365,4970.8467,5078.0435,5150.308,5150.308,5156.8203,5189.839,5189.839,5215.4385,5328.65
walk_forward,2023-09-12 20:25:00,2023-09-12 21:10:00,5144.0293,5157.688,-13.658691,5230.0044,4927.298,5086.096,5097.4243,5138.42,5157.688,5180.732,5196.0273,5196.0273,5323.53
walk_forward,2023-09-12 20:25:00,2023-09-12 21:15:00,5149.058,5155.7446,-6.6865234,5098.882,4922.1597,5062.1035,5095.344,5118.4893,5155.7446,5178.446,5207.564,5207.564,5339.254
walk_forward,2023-09-12 20:25:00,2023-09-12 21:20:00,5154.0874,5191.933,-37.845703,5148.393,4955.1753,5082.34,5133.166,5155.4395,5191.933,5202.0986,5240.856,5252.6284,5375.2026
walk_forward,2023-09-12 20:25:00,2023-09-12 21:25:00,5159.116,5156.269,2.847168,5163.8125,4943.0356,5068.6147,5101.725,5129.081,5156.269,5198.5,5199.4087,5209.8,5342.1475
