split,timestamp,forecast,actual,error,q00,q10,q20,q30,q40,q50,q60,q70,q80,q90
60_20_20_test,2023-10-18 13:15:00,2254.9282,2132.5227,-122.40552,2284.5708,2188.649,2209.35,2209.35,2240.5996,2254.9282,2254.9282,2281.018,2281.018,2282.5117
60_20_20_test,2023-10-18 13:20:00,2250.8179,2136.1028,-114.71509,2237.6353,2184.3555,2209.6157,2216.1606,2242.8564,2250.8179,2250.8179,2263.2227,2269.5054,2283.9897
60_20_20_test,2023-10-18 13:25:00,2237.767,2139.6826,-98.08447,2302.9512,2145.1782,2202.498,2202.498,2202.498,2237.767,2252.5996,2252.5996,2252.5996,2287.125
60_20_20_test,2023-10-18 13:30:00,2257.1858,2143.2625,-113.92334,2261.2947,2200.9514,2223.4944,2233.9744,2245.2874,2257.1858,2270.9827,2284.2468,2292.9695,2301.0168
60_20_20_test,2023-10-18 13:35:00,2255.5208,2146.8425,-108.67822,2224.9524,2224.5647,2224.5647,2229.8445,2237.9104,2255.5208,2264.7048,2270.297,2313.719,2313.719
60_20_20_test,2023-10-18 13:40:00,2248.8672,2150.4224,-98.444824,2262.7563,2180.6274,2192.754,2192.754,2220.354,2248.8672,2248.8672,2260.7617,2263.8296,2293.8408
60_20_20_test,2023-10-18 13:45:00,2261.142,2154.0022,-107.13989,2301.4937,2147.0703,2230.3213,2237.7446,2237.7446,2261.142,2276.231,2276.231,2284.9448,2349.417
60_20_20_test,2023-10-18 13:50:00,2257.5508,2157.5823,-99.968506,2284.0474,2202.0117,2223.3677,2223.3677,2230.912,2257.5508,2283.9917,2283.9917,2283.9917,2302.2866
60_20_20_test,2023-10-18 13:55:00,2275.9614,2161.162,-114.79932,2314.2266,2229.149,2229.149,2237.9712,2258.2573,2275.9614,2281.644,2298.4404,2307.8638,2327.276
60_20_20_test,2023-10-18 14:00:00,2275.6882,2164.7422,-110.946045,2258.4504,2203.3577,2203.3577,2252.6277,2252.6277,2275.6882,2303.4524,2303.4524,2338.8196,2338.8196
60_20_20_test,2023-10-18 14:05:00,2271.9133,2168.322,-103.59131,2360.0608,2172.97,2226.9426,2234.426,2244.0085,2271.9133,2290.6042,2301.674,2301.674,2366.7747
